ID,Timestamp,Contact Method(s),Type progress note here:,Staff Person(s),Primary Issue Area,What organization are you referring this client to?,Ref person,Date of Interaction (mm/dd/yy),Any of the below outcomes achieved?,Date of Outcome (mm/dd/yy),"Based on client's Contact Info and Method, Issue Area, and Staff",Was this client referred to us FROM somewhere else?,IA: Reason for Coming to CSC,IA: Background Information,IA: Strengths,IA: Needs,Short Term Goals,Short Term Goal Timeline,Long Term Goals,Long Term Goal Timeline,ISP: What will you do?,ISP: What will the client do?,Internal Notes,CAPnote,CAPatt,Gross Income,Legal Rent,Type of Subsidy,Effective Rent,Income Period,Internal Notes (previous) + Contracts,cm-actID,dummy1,dummy2,dummy3,dummy4
17,1/28/2009 0:00,,,Daniel,TA,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
18,1/30/2009 0:00,,"lost DHCR overcharge, appealing",Daniel,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
19,2/2/2009 0:00,,illegal construction (duplex) / rent stabilization law; works at CB3; interned at NEDAP,Brandon,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
20,2/17/2009 0:00,,"overcharge, vacant now in history","Brandon, Daniel",TA,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
21,2/17/2009 0:00,,"LL not responding, Referred to Stryckers of UWS",Daniel,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
22,2/26/2009 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
23,2/26/2009 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
24,2/26/2009 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
25,2/26/2009 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
26,2/26/2009 0:00,,,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
26,11/1/2010 0:00,,(ATT),Brandon,"C, TA",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
27,2/26/2009 0:00,,No cooking gas from 11/11/08-,"Brandon, Daniel","TA, HS",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
28,3/6/2009 0:00,,"Leak from repairs upstairs, 4 years ago",Brandon,TA,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
29,3/12/2010 0:00,Person,Filed CSC Housing Eligibility Assessment,"Daniel, Steve",AH,,,3/12/2010 0:00,,,NEW,Frances Goldin,,,,,,,,,,,,FALSE,FALSE,,,,,,HPD-AHC 9/16-12/15/10 counted,1,,,,
29,10/28/2010 0:00,,(ATT),,AH,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,HPD-AHC 9/16-12/15/10 counted,,,,,
29,11/4/2010 0:00,,(ATT),,AH,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,HPD-AHC 9/16-12/15/10 counted,,,,,
30,3/30/2010 0:00,Person,"In foreclosure building, wants to organize.",Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
30,10/8/2010 0:00,,Responded to long email regarding several different building issues... including a concern for her elderly downstairs neighbor.  This building is in foreclose and Shawn is one of the tenant leaders so she has continuing inquiring about the status of certa,,C,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
31,3/30/2010 0:00,Person,,Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/24/2011,1,,,,
31,1/24/2011 0:00,"Person, Phone, Email","Client lives in a building which is in foreclosure.  He is pres of the TA and has been inquiring into different protections, etc.. for himself and his fellow tenants.",Brandon,C,,,,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Cap - note/outcome but not att - 2/24/2011; USE",1,,,,
31,2/7/2011 0:00,,"S = Client is tenant leader for building.
O = We discussed problems building is having at large.  The building is in foreclosure and the current prop manger is harassing tenants.
A = They are making headway.  Lots of organizing work is needed for this cli",Brandon,C,,,2/7/2011 0:00,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Cap - note/outcome but not att - 2/24/2011; USE",,,,,
31,2/23/2011 12:40,,,,C,,,,,,NARR,,Robert needs advice regarding his rights as a tenant of a building that is going into foreclosure.  He is the tenant leader for his building and will be working to organize the other tenant during this new stage of turbulence.,,,,"Help Robert identify what his rights are.  Help him host meetings, draft correspondences to all the parties involved in the foreclosure, and help reach out to local pols for support.",,Preserve his (and his neighbors) tenancies... and potentially influence who purchases the building after the foreclosure is complete.,,"Work with Robert as needed to: 1) Host meetings, 2) Reach-out to pols, 3) Draft letters re his/others situation to all involved with foreclosure.",,,FALSE,FALSE,,,,,,,,,,,
31,1/16/2012 0:00,,"Client has multiple tenant issues we are helping with:

He is leading the organizing in his building, as the building is in foreclosure and have a number issues related to such.

He is also seeking specific advice regarding getting repairs done to the frt door for the building and the repairs for a senior tenant in the building.",Brandon,CR,,,2/24/2012 14:16,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
31,7/12/2012 16:02,Person,N/A,Brandon,EP,,,7/12/2012 0:00,,,NEW,,Client is embroiled in a organizing effort to keep the tenants of his building connected as they progress through the final stages of a bank foreclose.,,,,"Assist clinet in his efforts (connect him to the City Council Member's office, etc...)",,Help the client stave off potential eviction.,,Work with client to make sure he's prepared himself for potentially having a new aggressive LL purchase the building.  Also help the client hold tenant meeting for the building... to assist his neighbors in preparing for such as well.,,,FALSE,TRUE,,,,,,,1,,,,
32,4/8/2010 0:00,Person,Filed CSC Housing Eligibility Assessment,Daniel,AH,,,4/8/2010 0:00,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,HPD-AHC 9/16-12/15/10 counted,1,,,,
33,6/8/2010 0:00,,,Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
34,6/21/2010 0:00,Person,Needed help regarding the rights of rent-stabilized tenants in housing cooperatives,John,"C, R",Unspecified,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
35,6/23/2010 0:00,Phone,Mr. Rubin is involved in a housing court action involving extermination charged for bedbugs.  He needed to understand how he could go about changing a particular form to pro se.,John,"C, R",Unspecified,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,2,,,,
36,6/28/2010 0:00,Person,"Ms Kaufman, a rent-stabilzied tenant, came in with her husband, who is a co-tenant with her.  She and her husband were concerned that they both could be evicted if the landlord discovered that Ms KJaufman, has, for business reasons, been spending a consid",John,C,,,,,,,Neighbor,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
37,7/2/2010 0:00,Phone,"Ms Hillmer, a rent-stabilized tenant, called very upset and confused regarding a 3-day notice she had received from her landlord.  She only opened the notice yesterday.  She lost her mother last month and forgot to pay June's rent.  She has June's rent.",John,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Capricorn 11/18/2010; USE",2,,,,
37,2/13/2013 0:00,"Phone, Email","Wanted to be prepared if LL approaches her with personal use eviction. Says a neighbor reported being approached. I sent her link to DHCR fact sheet #10 on this topic, and wrote ""Furthermore, check who owns your building. (http://www.coopersquare.org/resources/know-your-rights)
If it is an LLC, they would be unlikely to do it anytime soon, because they would have to transfer ownership to an individual person. (LLC's cannot claim personal use.)  This WAS done in the notorious case of 47 East 3rd St, you can find articles online about it.""",Daniel,CN,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,2,,,,
38,7/12/2010 0:00,Person,,,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
39,7/14/2010 0:00,"Person, Postal Mail",Filed CSC Housing Eligibility Assessment,Daniel,AH,,,7/14/2010 0:00,,,NEW,"Jasmine Garcia, Marlene Askew",,,,,,,,,,,,FALSE,FALSE,,,,,,HPD-AHC 9/16-12/15/10 counted,1,,,,
40,7/18/2010 0:00,Person,"Client is being unfairly accused being a hoarder.

He is being harassed by the property management... they have threatened to bring a housing court case against him.

I have had conversations with and sent a letter to the LL's attorney regarding the matte",Brandon,HS,,,7/18/2010 0:00,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/27/2011,1,,,,
40,9/3/2010 0:00,,09/03/10 -- Returned Bob's call to touch base with him about his case.  The LL's attorney has not returned my calls.  I will send the LL a formal correspondence next week regarding all.,Brandon,HS,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/27/2011,,,,,
40,9/7/2010 0:00,,,Brandon,HS,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/27/2011,,,,,
40,9/9/2010 0:00,,,Brandon,HS,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/27/2011,,,,,
40,9/17/2010 0:00,,Called prop management regarding clients lease.  Little details to straighten out.  They claim they sent it cretified mail weeks ago.  The client says they didn't.  I've got them to aggree that to send it again. (9/17),Brandon,HS,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/27/2011,,,,,
40,10/5/2010 0:00,,"Received a call from the LL's attorney regarding an apt inspection for Bob's unit.

I will work as the go-between for this aggressive attorney and Bob (who is 77 years old).  We are going to have continued discussion to iron-out an inspection date.

I cal",Brandon,HS,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/27/2011,,,,,
40,10/18/2010 0:00,,House Visit (10/18) :  I visited the client at his apartment to accompany him in an inspection he arranged with the LL.  The LL's agent never showed until we called (30 mins late) and then the attorney and I entered in a bicker session over the phone beca,Brandon,HS,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/27/2011,,,,,
40,12/30/2010 0:00,,"December 13-20:  Worked with client to pursue repairs.  Made many called to LL and PM regarding repairs... & send a letter CC'ing local Pols.  The client reported that the LL has initiated repairs (finally).

Note:  The LL's attitude through all of this w",Brandon,HS,,,,"Repairs completed, Conflict resolved with landlord or other tenant",,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,HPD-AHC 121610-31511 HS counted; Cap - note/outcome but not att - 2/27/2011,,,,,
40,1/3/2011 0:00,,"10/22/10 -- Met client at his apt.  LL had scheduled an inspection.  LL agents were 1.0+ hours late.  We finally met with them and the was much argument.

10/18/10 -- Client called and complained that the LL had began to make arrangements for needed repai",Brandon,HS,,,,"Eviction prevented, Legal issues related to housing resolved",,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,HPD-AHC 121610-31511 HS counted; Cap - note/outcome but not att - 2/27/2011,,,,,
40,2/25/2011 14:07,,,,HS,,,,,,NARR,,Client has a number of issues with his tenancy.  I believe many of them are tied to him having an affordable rent and being harassed by his LL.,,,,Curb the harassment and get basic repairs for his apt.,,Preserve his long term tenancy.... keep the LL off his back for his remaining time in the apt (he is elderly and plans to retire and leave the unit eventually).,,"Help tenant advocate for himself.  Write letters, call prop management, act as a in-between when the tenant deals with the overtly aggressive management.",,,FALSE,FALSE,,,,,,HPD-AHC 121610-31511 HS counted; Cap 2/25/11,,,,,
40,5/1/2012 16:09,,"Client lives in a CoOp building. This client was unofficially offered the option to move from his current apartment into a more modern, updated apartment. He wanted to know his options and if he is in danger of loosing his apartment.",,CN,,,,,,CONT,,,,,,,,,,,,"This client was informed that because of his rental status he cannot be kicked out of his apartment, his protected by state and local laws. He is well within his rights to tell the building coop, that he is not interested in switching apartments.",FALSE,FALSE,,,,,,,,,,,
41,7/21/2010 0:00,Person,Question about lease.,Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,1,,,,
42,7/22/2010 0:00,Person,"Above McSorleys, overcharge claim, depends on how many apts were in building prior to 1973.",Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,1,,,,
43,7/26/2010 0:00,Person,"Possibly wants to move in with girlfriend, has a Section 8 voucher.  Both of them earn about $1,500/mo.  Gave him CSC Elig App.",Daniel,AH,,,7/26/2010 0:00,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
44,7/27/2010 0:00,Person,,Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,1,,,,
45,7/28/2010 0:00,Person,"Cooking gas is out in one line of the building.  There are numerous other problems as well.

I believe the client's situation will be better addressed through organizing the entire building... versus working individually with him.  I have offered to assis",Brandon,HS,,,7/28/2010 0:00,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,1,,,,
45,9/13/2010 0:00,,"Client called 3 times and stopped by the office for additional info on destructive construction work occurring in the building.

I emailed CB3 about getting special attention paid to his situation.  I'm waiting to hear back from them to see if we can have",Brandon,HS,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,,,,,
45,9/29/2010 0:00,,"Several emails & calls with client.  He is in H Court tomorrow on behalf of the TA.  They have an attorney, but I'm questioning his ability (2 previous adjurments on this HP Action.)  I contacted this attorney to prob him and ask about the complications i",Brandon,HS,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,,,,,
45,10/18/2010 0:00,,"This client has mental-health issues and is now emailing daily to draw my attention to issues that I am already working with him on to cure.

I have responded via phone & email repeatedly over the last week to him... I am now working with his city and sta",Brandon,HS,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn - att and note - 2/22/2011,,,,,
46,7/28/2010 0:00,Person,"break lease, get secdep back? renovationará, need to paint? dunno and yes. unless written agreement w LL, as no rights with lease breaking",Daniel,C,,,7/28/2010 0:00,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,1,,,,
47,7/28/2010 0:00,Person,General questions about rent-stabilization.,Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,1,,,,
47,2/22/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
48,8/3/2010 0:00,Person,,Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,1,,,,
49,8/4/2010 0:00,Person,"Frank lives in a TIL building.  He has also temp been relocated to this location on East 3rd.

There is a nuisance neighbor upstairs from him.  He is interested in understanding his options on how to handle the situation.",Brandon,C,,,8/4/2010 0:00,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Capricorn 11/18/2010; USE",1,,,,
49,8/4/2010 0:00,Person,,Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,1,,,,
49,9/8/2010 0:00,,,Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,,,,,
49,9/14/2010 0:00,,"Frank stopped in to see if I had luck getting a hold of anyone at HPD.  I did have a conversation with HPD several weeks ago.

I reported back to Frank that HPD will consider relocating him if he is open to the idea.  Frank is so far not open to the idea.",Brandon,C,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Capricorn 11/18/2010; USE",,,,,
49,10/5/2010 0:00,,Frank came in with general question on the same situation.  I tried again tog et him to consider the re-loctaion HPD suggested.  He is hesitant.  I will need to reach out to HPD again regarding all. (10/05 -- BK),Brandon,C,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Cap - att & note/outcome - 2/22/2011; USE",,,,,
49,1/3/2011 0:00,,11/10/10 -- Frank stopped in to talk about his case.  Unfortunately he is not so willing to consider relocation... as HPD suggested.  He also does not seem to be keeping records of the incidence of noise as I asked him to do.  I will continue to prod him,,C,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - att & note/outcome - 2/22/2011,,,,,
50,8/24/2010 0:00,Phone,"Mr. Fisher, an old friend and a person with multiple permanent physical disabilities, contacted for assistance in locating resources to enable him to afford his rent and in locating accessible affordable housing.  I informed Mr. Fisher about DRIE and refe",John,"AH, ED, R",BCID,"Milagros Franco, Lucy Siderman",,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, R counted, capfy11",2,,,,
50,1/7/2011 0:00,Person,"Mr. Fisher is a person with multiple disabilities who resides in a rent-stabilized.   As he is experiencing financial hardship because the cost of basic necessities such as housing far exceeds his income from SSI, John (a personal of friend of Mr. Fisher'",John,ED,,,1/7/2011 0:00,,,NEW,No,,,,,,,,,,,"In order to complete Mr. Fisher's application for DRIE, John is awaiting a document from a church confirming that it is paying a portion of Mr. Fisher's rent.",FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Cap - note/outcome but not att - 2/27/2011; USE",1,,,,
50,1/19/2011 0:00,,"Last week I contacted Park Slope United Methodist Church to ask for a corrected letter from them regarding the amount of Mr. Fisher's rent they are paying every month.  (It should be $565, not $767, which is the entire amount.)  The secretary said she wou",John,ED,,,1/19/2011 0:00,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Cap - note/outcome but not att - 2/27/2011; USE",,,,,
50,1/24/2011 0:00,,"I finally reached Maria, the secretary, for Park Slope United Methodist Church, which has been paying a portion of Mr. Fisher's rent.  She said she would forward to Virginia, the bookkeeper, an e-mail from me requesting a letter confirming that the church",John,ED,,,,,,CONT,,,,,,,,,,,,I'll follow up on e-mail in about a week.,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Cap - note/outcome but not att - 2/27/2011; USE",,,,,
50,1/24/2011 0:00,,"I finally received from the church secretary, AnnaMaria Candelaria, a letter confirming the church's monthly contribution to Mr. Fisher's rent in the correct amount.  I can now proceed completing Mr. Fisher's DRIE applicaiton.",John,ED,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Cap - note/outcome but not att - 2/27/2011; USE",,,,,
50,2/25/2011 0:00,,,John,ED,,,,,,,,Salih Michael Fisher is a 55-year-old single gay male who has lived in the same rent-stabilized apartment for over 20 years.  He recently underwent triple-bypass surgery from which he is recovering well; he suffers from very advanced diabetes.  He gets ar,,,,A short-term or immediate goal is to research what resources exist that could be used to increase Mr. Fisher’s disposable income.,,"Mr. Fisher believes the deterioration of his physical condition is imminent, forcing him eventually to use a wheel chair.  The narrowness of his apartment rules out using a wheelchair in it.  Mr. Fisher said he prefer not to have to go to a nursing home.",,"After an investigation of available resources, I learned that Mr. Fisher had not applied for DRIE.  If his rent were frozen, he would have slightly more disposable income to buy groceries or meet other necessities.  I completed a DRIE application for him",,,FALSE,FALSE,,,,,,Capricorn 2/25/11,,,,,
50,3/10/2011 0:00,,Mr. Fisher called me to say he had received a notification from the city Department of Finance confirming their receipt of the DRIE application I had completed and submitted for him.,,ED,,,3/10/2011 0:00,,3/10/2011 0:00,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
51,8/24/2010 0:00,Phone,"Ms Ollivierre was referred to me by MHA board member Michael Atkins.  Ms Atkins is 68 years-old and plans to assert succession rights to an apartment in which she lived off and on throughout the years with her elderly mother, who passed away last month.",John,"C, R",LA,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, R counted",2,,,,
52,8/26/2010 0:00,,,,E,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
53,8/26/2010 0:00,,,,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
54,8/26/2010 0:00,,,,E,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
55,8/26/2010 0:00,,,John,OP,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
56,8/27/2010 0:00,,,"Daniel, Brandon",C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
57,8/30/2010 0:00,Person,,Daniel,AH,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
58,8/30/2010 0:00,Person,,Daniel,AH,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
59,8/27/2010 0:00,,,Daniel,AH,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
59,8/30/2010 0:00,Person,,Daniel,AH,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
60,8/31/2010 0:00,,,Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
60,10/7/2010 0:00,,(ATT),Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
60,10/15/2010 0:00,,(ATT),Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
60,10/19/2010 0:00,,(ATT),Brandon,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
61,8/31/2010 0:00,,,"Christian, Brandon","C, E",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,,,,,
61,9/1/2010 0:00,,,"Christian, Brandon","C, E",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn 11/18/2010,,,,,
