Source,ID-co,Company/aa2,Person,Title,address main line,Apt/aa1,City,State,Zip,Zip+4,Note2010,Ret2012,Remailed?,,,,,,,
Steve,58,Goldstein-Hall,Matt Hall,,44 Wall Street,12th Floor,New York,NY,10005,,,,,,,,,,,
Steve,60,Good Old Lower East Side,Damaris Reyes,,171 Avenue B,,New York,NY,10009,,,,,,,,,,,
Steve,61,GVSHP,Andrew Berman,Exec. Director,232 E. 11th Street,,New York,NY,10003,,,,,,,,,,,
Steve,62,Haskell Brokerage,Maria Rivera,,100 William St.,Suite 1125,NY,NY,10038,,,,,,,,,,,
Fran,64,Heat and Light Co.,Tony Kushner,,111 East 14th Street,404,New York,NY,10003,,,,,,,,,,,
Steve,65,HHK Management Group,Harry Kotowitz,President,12 Hall St.,Suite 200,Brooklyn,NY,11205,,,,,,,,,,,
Steve,66,"Himmelstein, McConnell, Gribben",,,15 Maiden Lane,,New York,NY,10038,,,,,,,,,,,
Steve,67,Housing Works,Charles King,President,743 East 9th St.,,New York,NY,10009,,,,,,,,,,,
Steve,68,JASA,Donald Manning,,132 W. 31 Street,,New York,NY,10001,,Revised from 2010 return,,,,,,,,,
Steve,69,JCCGCI,Chaya Abelsky,,3001 West 37th St.,,Brooklyn,NY,11224,,,,,,,,,,,
Steve,70,Jimmy’s No. 43,Jimmy Carbone,,43 East 7th Street,,New York,NY,10003,,,,,,,,,,,
Steve,71,John’s Restaurant,,,302 E. 12th St.,,New York,NY,10003,,,,,,,,,,,
Fran,72,JP Morgan Chase,Jenny Lo,,1 Chase Manhattan Plaza,6th Floor,New York,NY,10005,,,,,,,,,,,
Steve,74,Kingdom Architecture ,,,102-49 Corona Ave.,,Flushing,NY,11368,3137,,,,,,,,,,
Steve,75,Kutztown Publishing Co.,Dave Martin,,15076 Kutztown Road,PO Box 346,Kutztown,PA,19530,,,,,,,,,,,
Steve,77,"La MaMa, ETC.",,,74A E. 4th St.,,New York,NY,10003,,NDA. Revised,,,,,,,,,
Steve,78,La Salle Academy,Andrew Leary,,44 E 2nd St,,New York,NY,10003,,,,,,,,,,,
Steve,79,La Sirena,,,27 E. 3rd St.,,New York,NY,10003,,,,,,,,,,,
Steve,80,LANY,Avie Bertaccini,,171 Madison Ave,6th Fl.,New York,NY,10016,,new 2012,,,,,,,,,
Steve,82,Legal Services of NY,,,40 Worth Street,Suite 606,New York,NY,10013,,,,,,,,,,,
Steve,83,LES Tenement Museum,,,91 Orchard Street,,New York,NY,10002,3132,,,,,,"$6,155.72",,,,
Steve,93,LESPFCU,Cynthia Colon,,37 Avenue B,,New York,NY,10009,,,,,,,,,,,
Steve,84,LISC,Exec. Director,,501 Seventh Avenue,,New York,NY,10018,,,,,,,,,,,
,85,"Loisaida, Inc.",Raquel Santana,Exec. Director,12 Avenue D,,New York,NY,10009,,Revised from 2010 return,,,,,,,,,
Steve,86,Lower East Side Girls Club,Lyn Pentecost,Executive Director,56 E 1st St,,New York,NY,10003,,,,,,,,,,,
Steve,87,Lower East Side Peoples MHA,Executive Director,,209 E. 3rd Street,,New York,NY,10009,,,,,,,,,,,
,89,Lucien Restaurant,,,14 1st Avenue,,New York,NY,10009,,Revised from 2010 return,,,,,,,,,
Steve,90,Magnuson Architecture & Planning,Perry Winston,,835 Broadway,8th Floor,New York,NY,10003,,,,,,,,,,,
Steve,91,Manhattan Borough President,The Honorable Scott Stringer,,1 Centre Street,19th Floor So.,New York,NY,10007,,,,,,,,,,,
Steve,92,Manhattan Fire & Safety Corp,Badou,,242 W 30th St,7th Fl,New York,NY,10001,,,,,,,,,,,
Steve,95,"Massey Knakal Realty, Inc.",Philip Huang,,275 Madison Ave.,3rd Floor,New York,NY,10016,,,,,,,,,,,
Steve,96,Merrill Lynch,Harlan Levinson,,2 World Financial Center,40th Fl.,New York,NY,10004,,,,,,,,,,,
Steve,97,Met Life,Liza Confino,,1095 Avenue of the Americas,,New York,NY,10036,,,,,,,,,,,
Fran,98,Metropolitan Books,Sam Bershtel,,175 Fifth Avenue,,New York,NY,10010,,,,,,,$390.00,,,,
Steve,99,Mogull Realty,Kim Mogull,President and CEO,303 E 57th St,Ste 400,New York,NY,10022,2693,rev 2012,,,,,,,,,
Steve,100,"Monadnock Construction, Inc.",Nick Lombo,,155 3rd Street,,Brooklyn,NY,11231,,,,,,,$223.65,,,,
Steve,101,Myrtle Avenue Brooklyn Partnership,Executive Director,,472 Myrtle Avenue,2nd Fl,Brooklyn,NY,11205,,,,,,,,,,,
Steve,102,N. Manhattan Improvement Corp. ,Dan Rieber,Weatherization Program,76 Wadsworth Avenue,,New York,NY,10033,,,,,,,,,,,
Steve,103,National Equity Fund,Tony Thesing,,501 Seventh Avenue,7th Floor,New York,NY,10018,,,,,,,"$4,559.55",,,,
Fran,45,National Lawyers Guild,Heidi Boghosian,Director,132 Nassau St,Ste 922,New York,NY,10038,,"ret101810 - ANK, fixed 2012",,,,,,,,,
Steve,104,Neighborhood Preservation Center,Felicia Mayro,Director,232 E. 11th Street,,New York,NY,10003,,,,,,,,,,,
Steve,105,NeighborWorks Training Institute,,,1325 G Street NW,Suite 800,Washington,DC,20005,,,,,,,,,,,
,106,New York Foundation ,Program Officer,,10 East 34th Street,10th Fl.,New York,NY,10116,2996,Revised from 2010 return,,,,,,,,,
Steve,107,New York Theater Workshop,Larry Henry,,79 E. 4th St.,,New York,NY,10003,,,,,,,,,,,
Steve,110,Noyes Foundation ,Edna Iriarte,Program Officer,6 E. 39th St.,,New York,NY,10016,,,,,,,,,,,
,111,NY Community Trust,Pat Swann,,909 Third Avenue,22nd Floor,New York,NY,10022,,Revised from 2010 return,,,,P:(877) 550-2333 ext. 42137,$708.00,,F:(866) 813-6561,gguerra@paychex.com,Corporate Contributions: https://www.paychex.com/company/contributions.aspx
Steve,112,NYC Council,The Honorable Christine Quinn,Speaker,224 W. 30th Street,,New York,NY,10001,,,,,,,,,,,
Steve,115,NYPD – 9th Precinct,Jamie Hernandez,,321 E. 5th Street,,New York,NY,10003,,,,,,,,,,,
Steve,116,NYS Assembly,Deborah Glick,Assemblyperson,853 Broadway,Suite 1518,New York,NY,10003,,,,,,,,,,,
Steve,118,NYS Senate,The Honorable Tom Duane,Senator,322 8th Avenue,Suite 1700,New York,NY,10001,,,,,,,,,,,
Steve,120,NYU,Bob Cohen,Community Relations,25 West 4th St.,5th Floor,New York,NY,10012,,,,,,,,,,,
Steve,121,"Office Depot, Business Solutions Division",Christopher Banks,Territory Development Manager ,1250 Broadway,Suite 3400 ,New York,NY,10001,,,,,,,,,,,
Steve,122,Pageant Print Shop,,,69 E. 4th St.,,New York,NY,10003,,,,,,,,,,,
Steve,123,Pangea ,,,178 2nd Avenue,,New York,NY,10003,,,,,,,,,,,
Steve,124,Paychex,Gabriel Guerra,,1250 Broadway,29th Floor,New York,NY,10001,,,,,,,,,,,
,125,Phipps Houses,Adam Levine,,902 Broadway,,New York,NY,10010,,Revised from 2010 return,,,,,,,,,
Steve,126,Pratt Center,Exec. Director,,379 Dekalb Avenue,,Brooklyn,NY,11205,,,,,,,,,,,
Steve,127,Project Renewal,Christine Drabeck,,200 Varick St,FL 9,NY,NY,10014,,,,,,,,,,,
Steve,129,Promo Pro Ltd.,George Miltiadous,,1307 37th Ave.,,Long Island City,NY,11101,,,,,,,,,,,
Steve,130,Random Accessories,,,77 E. 4th St.,,New York,NY,10003,,,,,,,,,,,
Steve,131,Richard Kusack Real Estate,,,445 Park Ave.,9th Floor,New York,NY,10022,,,,,,,,,,,
Steve,132,Rod Rodgers Dance Company,Rachel Lubell,,62 E. 4th Street,,New York,NY,10003,,,,,,,,,,,
Steve,133,Roza’s Unisex Salon,,,63 E. 4th St.,,New York,NY,10003,,,,,,,,,,,
Steve,134,Settlement Housing Fund,Carol Lamberg,,247 West 37th St.,4th Floor,New York,NY,10018,,,,,,,,,,,
Steve,135,Shalom Tenants Alliance,,,51 MacDougal Street,Suite 357,New York,NY,10012,,,,,,,,,,,
Fran,136,Smithsonian Books,Elisabeth Dyssegaard,,10 E. 53rd Street,,New York,NY,10022,,,,,,,,,,,
,137,Solar One,Diana F. Pangestu,Communities Coordinator,24-20 FDR Drive,,New York,NY,10009,,Revised from 2010 return,,,,,,,,,
Steve,138,St. Marks Bookshop,,,31 3rd Avenue,,New York,NY,10003,,,,,,,,,,,
Steve,139,Starr Whitehouse,Stephen Whitehouse,,80 Maiden Ln,1901,New York,NY,10038,4717,Revised from 2010 return,,,,,,,,,
Steve,140,Surdna Foundation,Phillip Henderson,President,330 Madison Ave.,30th Fl.,New York,NY,10017,5001,,,,,,,,,,
Steve,143,Susan Trainor Associates,,,59-61 E. 4th Street,FL 2,NY,NY,10003,,rev 2012,,,,,,,,,
Steve,144,Booth Ferris Foundation c/o JPMorgan Private Bank,Connie Brandeis,Program Officer,345 Park Ave.,4th Fl.,New York,NY,10154,,,,,,,,,,,
Steve,145,The Standard,,,25 Cooper Square,,New York,NY,10003,,,,,,,,,,,
Steve,146,Theater for the New City,,,155 1st Avenue,,New York,NY,10009,,,,,,,,,,,
Steve,147,Two Boots Pizza,,,42 - 44 Avenue A,,New York,NY,10009,,,,,,,,,,,
Steve,148,Two Bridges ,Victor Papa,Exec. Director,275 Cherry St.,,New York,NY,10002,,,,,,,,,,,
Steve,149,Ukrainian East Village Restaurant,,,140 2nd Avenue,,New York,NY,10003,,,,,,,,,,,
Steve,150,University Settlement,Michael Zisser,Exec. Director,184 Eldridge St.,,New York,NY,10002,,,,,,,,,,,
Steve,151,Urban Justice Center,Harvey Epstein,,123 William Street,16th Floor,New York,NY,10038,,Revised from 2010 return,,,,,,,,,
Steve,152,Verizon,Verizon Foundation Headquarters,,One Verizon Way,,Basking Ridge,NJ,07920,,,,,,,,,,,
Steve,153,West New York Restoration,,,1800 Boston Rd.,,Bronx,NY,10460,,,,,,,,,,,
Steve,154,Whiskers Holistic Pet Care,,,235 E. 9th St.,,New York,NY,10003,,,,,,,,,,,
Fran,155,Winter Management,James Winter,,730 5th Avenue,12th Floor,New York,NY,10019,,,,,,,,,,,
Steve,156,Working Families Party,,,2 Nevins Street,3rd Floor,Brooklyn,NY,11217,,,,,,,,,,,
Fran,157,Workman Publishing Co.,Elisabeth Scharlatt,,225 Varick St,,New York,NY,10014,4381,"NOT DELIVERABLE AS ADDRESSED, fixed 2012",,,,,,,,,
Steve,158,"Works in Progress, Inc.",Emily Clark,,59 E. 4th St.,,NY,NY,10003,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
