Contact ID,Phonebank activity type ID,ACtivity Date,Phonebank activity subject,Phonebank activity details,DNI - staff ID,DNI
2276,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: AC Left msg,,1635,ACTIVITY IMPORT
1060,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: CV Called Left msg,,1052,ACTIVITY IMPORT
1089,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: CV Called Left msg,,1052,ACTIVITY IMPORT
112,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: CV called, said yes",,1052,ACTIVITY IMPORT
2496,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: CV called, said yes",,1052,ACTIVITY IMPORT
2715,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: CV called, said yes",,1052,ACTIVITY IMPORT
2226,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT  Called Left msg ,,2067,ACTIVITY IMPORT
2082,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT  Called Left msg ,,2067,ACTIVITY IMPORT
451,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT  Called Left msg ,,2067,ACTIVITY IMPORT
309,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT  Called Left msg ,,2067,ACTIVITY IMPORT
2208,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT ?,Sick,2067,ACTIVITY IMPORT
2911,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT called,VM full,2067,ACTIVITY IMPORT
1527,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT called,sick,2067,ACTIVITY IMPORT
1515,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT called,nis,2067,ACTIVITY IMPORT
1366,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT called,hung up,2067,ACTIVITY IMPORT
2255,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT called,croman_brandons_list?,2067,ACTIVITY IMPORT
2413,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT Called Left msg,,2067,ACTIVITY IMPORT
564,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT Called Left msg,,2067,ACTIVITY IMPORT
581,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT Called Left msg,,2067,ACTIVITY IMPORT
588,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT Called Left msg,,2067,ACTIVITY IMPORT
1380,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT Called Left msg,,2067,ACTIVITY IMPORT
305,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT Called Left msg,,2067,ACTIVITY IMPORT
2690,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT Called Left msg,,2067,ACTIVITY IMPORT
2705,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT Called Left msg,,2067,ACTIVITY IMPORT
904,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT Called Left msg,,2067,ACTIVITY IMPORT
2741,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT Called Left msg,,2067,ACTIVITY IMPORT
787,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, left msg",,2067,ACTIVITY IMPORT
2825,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said maybe",,2067,ACTIVITY IMPORT
1439,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said maybe",,2067,ACTIVITY IMPORT
2895,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said maybe",,2067,ACTIVITY IMPORT
1584,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said no",work,2067,ACTIVITY IMPORT
2257,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said no",work,2067,ACTIVITY IMPORT
3096,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said no",work,2067,ACTIVITY IMPORT
203,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said no",sick,2067,ACTIVITY IMPORT
2106,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said no",sick,2067,ACTIVITY IMPORT
569,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said no",daniel_called_previously,2067,ACTIVITY IMPORT
2115,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said no",,2067,ACTIVITY IMPORT
2704,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said no",,2067,ACTIVITY IMPORT
2778,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT Called, said Yes",,2067,ACTIVITY IMPORT
3117,2,2015-06-01,"Phonebanking for 6/9/15 Albany trip: YT called, said yes",,2067,ACTIVITY IMPORT
772,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT left msg,switched_to_other_call,2067,ACTIVITY IMPORT
340,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT left msg,,2067,ACTIVITY IMPORT
625,2,2015-06-01,Phonebanking for 6/9/15 Albany trip: YT left msg,,2067,ACTIVITY IMPORT
