Event,Civi ID,P-Status,P-Role,P-Notes
14,2152,2,1,"Ppl expected: 1, Payment details: Paid"
14,2153,2,1,"Ppl expected: 1, Payment details: Paid"
13,2154,2,1,"Price: 40, Ppl expected: 1, Payment details: No"
13,2155,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
13,2156,2,1,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,2156,2,1,"Ppl expected: 1, Payment details: 10 Stanton St Owner's guests"
14,2157,2,1,"Ppl expected: 1, Payment details: Paid"
13,2158,2,1,"Price: 75, Ppl expected: 1, Payment details: Yes"
14,2159,2,1,"Ppl expected: 1, Payment details: Paid"
14,2160,2,1,"Ppl expected: 1, Payment details: Paid"
14,2161,2,1,"Ppl expected: 1, Payment details: Paid"
14,2162,2,1,"Ppl expected: 1, Payment details: Paid"
13,2163,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,2163,2,1,"Ppl expected: 1, Payment details: Paid"
13,2164,2,1,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,2165,2,1,"Ppl expected: 1, Payment details: Comp"
13,2166,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,2167,2,1,"Ppl expected: 1, Payment details: Comp"
14,2168,2,1,"Ppl expected: 1, Payment details: Paid"
14,2169,2,1,"Ppl expected: 1, Payment details: Will pay on Nov. 1st"
13,2170,2,1,"Price: 60, Ppl expected: 1, Payment details: No"
14,2171,2,1,"Ppl expected: 1, Payment details: Paid"
13,2172,2,1,"Price: 100, Ppl expected: 1, Payment details: Yes"
13,2173,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
13,2174,2,1,"Price: 60, Ppl expected: 1, Payment details: Yes"
14,2175,2,1,"Ppl expected: 1, Payment details: Wants to come but can't afford $40"
14,2176,2,1,"Ppl expected: 1, Payment details: Paid"
14,2177,2,1,"Ppl expected: 1, Payment details: Paid"
14,2178,2,1,"Ppl expected: 1, Payment details: Paid"
14,2179,2,1,"Ppl expected: 1, Payment details: Paid"
14,2180,2,1,"Ppl expected: 1, Payment details: Paid"
14,2181,2,1,"Ppl expected: 1, Payment details: Will pay on Nov. 1st"
14,2182,2,1,"Ppl expected: 1, Payment details: Paid"
14,2183,2,1,"Ppl expected: 2, Payment details: Paid"
14,2184,1,1,"Ppl expected: 1, Payment details:  "
13,2185,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,2186,2,1,"Ppl expected: 1, Payment details: Paid"
13,2187,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
13,2188,2,6,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,2189,2,1,"Ppl expected: 1, Payment details: Fran's guest"
14,2190,2,1,"Ppl expected: 1, Payment details: Fran's guest"
14,2191,2,1,"Ppl expected: 1, Payment details:  "
13,2192,2,2,"Price: Comp, Ppl expected: 1, Payment details: Yes"
14,2193,2,1,"Ppl expected: 1, Payment details: Paid"
14,2194,2,1,"Ppl expected: 1, Payment details: Paid"
13,2195,2,1,"Price: 83.33, Ppl expected: 1, Payment details: Yes"
14,2195,3,1,"Ppl expected: 0, Payment details: Did not show"
14,2196,2,1,"Ppl expected: 1, Payment details: Paid"
14,2197,2,1,
14,2198,2,1,"Ppl expected: 0, Payment details: Paid"
14,2199,2,1,"Ppl expected: 1, Payment details: Paid"
14,2168,2,1,
