Source,ID-co,Company/aa2,Person,Title,address main line,Apt/aa1,City,State,Zip,Zip+4,Note2010,Ret2012,Remailed?,Phone(w),Ext,Phone cell,email
Steve,org112,NYC Council,Rosie Mendez,Councilperson,237 1st Avenue,,New York,NY,10003,, ,,,,,,
Steve,org112,NYC Council,Margaret Chin,Councilperson,"Chatham Green, 165 Park Row",Suite 11,NY,NY,10002, ,,,,,,,
Steve,org112,NYC Council,The Honorable Christine Quinn,Speaker,224 W. 30th Street,,New York,NY,10001,,,,,,,,
Steve,org115,NYPD – 9th Precinct,Jamie Hernandez,,321 E. 5th Street,,New York,NY,10003,,,,,,,,
Steve,org116,NYS Assembly,Deborah Glick,Assemblyperson,853 Broadway,Suite 1518,New York,NY,10003,,,,,,,,
Steve,org116,NYS Assembly,Brian Kavanagh,Assemblyperson,237 1st Avenue,,New York,NY,10003,,,,,,,,
Steve,org118,NYS Senate,Daniel Squadron,Senator,401 Broadway,Suite 1901,New York,NY,10013,,,,,,,,
Steve,org118,NYS Senate,The Honorable Tom Duane,Senator,322 8th Avenue,Suite 1700,New York,NY,10001,,,,,,,,
Steve,org12,Ballo & Co.,Mr. Ballo,,67 Hudson Street,,New York,NY,10013,,,,,,,,
Steve,org120,NYU,Bob Cohen,Community Relations,25 West 4th St.,5th Floor,New York,NY,10012,,,,,,,,
Steve,org121,"Office Depot, Business Solutions Division",Christopher Banks,Territory Development Manager ,1250 Broadway,Suite 3400 ,New York,NY,10001,,,,,,,,
Steve,org122,Pageant Print Shop,,,69 E. 4th St.,,New York,NY,10003,,,,,,,,
Steve,org123,Pangea ,,,178 2nd Avenue,,New York,NY,10003,,,,,,,,
Steve,org124,Paychex,Gabriel Guerra,,1250 Broadway,29th Floor,New York,NY,10001,,,,,,,,
,org125,Phipps Houses,Adam Levine,,902 Broadway,,New York,NY,10010,,Revised from 2010 return,,,,,,
Steve,org126,Pratt Center,Exec. Director,,379 Dekalb Avenue,,Brooklyn,NY,11205,,,,,,,,
Steve,org127,Project Renewal,Christine Drabeck,,200 Varick St,FL 9,NY,NY,10014,,,,,,,,
Steve,org127,Project Renewal,Stephanie Cowles,,200 Varick St,FL 9,NY,NY,10014,,,,,,,,
Steve,org129,Promo Pro Ltd.,George Miltiadous,,1307 37th Ave.,,Long Island City,NY,11101,,,,,,,,
Steve,org13,BFC Partners,Don Capoccia,,325 Gold Street,7th Floor,Brooklyn,NY,11201,,,,,,,,
Steve,org130,Random Accessories,,,77 E. 4th St.,,New York,NY,10003,,,,,,,,
Steve,org131,Richard Kusack Real Estate,,,445 Park Ave.,9th Floor,New York,NY,10022,,,,,,,,
Steve,org132,Rod Rodgers Dance Company,Rachel Lubell,,62 E. 4th Street,,New York,NY,10003,,,,,,,,
Steve,org133,Roza’s Unisex Salon,,,63 E. 4th St.,,New York,NY,10003,,,,,,,,
Steve,org134,Settlement Housing Fund,Carol Lamberg,,247 West 37th St.,4th Floor,New York,NY,10018,,,,,,,,
Steve,org135,Shalom Tenants Alliance,,,51 MacDougal Street,Suite 357,New York,NY,10012,,,,,,,,
Fran,org136,Smithsonian Books,Elisabeth Dyssegaard,,10 E. 53rd Street,,New York,NY,10022,,,,,,,,
,org137,Solar One,Diana F. Pangestu,Communities Coordinator,24-20 FDR Drive,,New York,NY,10009,,Revised from 2010 return,,,,,,
Steve,org138,St. Marks Bookshop,,,31 3rd Avenue,,New York,NY,10003,,,,,,,,
Steve,org139,Starr Whitehouse,Stephen Whitehouse,,80 Maiden Ln,1901,New York,NY,10038,4717,Revised from 2010 return,,,,,,
Steve,org14,Block Drugs,Carmine,,101 2nd Avenue,,New York,NY,10003,,,,,,,,
Steve,org140,Surdna Foundation,Phillip Henderson,President,330 Madison Ave.,30th Fl.,New York,NY,10017,5001,,,,,,,
Steve,org140,Surdna Foundation,Vanitha Venugopal,Program Officer,330 Madison Avenue,30th Floor,New York,NY,10017,,,,,,,,
Steve,org140,Surdna Foundation,Jonathan Goldberg,Grants Administrator,330 Madison Avenue,30th Floor,New York,NY,10017,,,,,,,,
Steve,org143,Susan Trainor Associates,,,59-61 E. 4th Street,FL 2,NY,NY,10003,,rev 2012,,,,,,
Steve,org144,Booth Ferris Foundation c/o JPMorgan Private Bank,Connie Brandeis,Program Officer,345 Park Ave.,4th Fl.,New York,NY,10154,,,,,,,,
Steve,org145,The Standard,,,25 Cooper Square,,New York,NY,10003,,,,,,,,
Steve,org146,Theater for the New City,,,155 1st Avenue,,New York,NY,10009,,,,,,,,
Steve,org147,Two Boots Pizza,,,42 - 44 Avenue A,,New York,NY,10009,,,,,,,,
Steve,org148,Two Bridges ,Victor Papa,Exec. Director,275 Cherry St.,,New York,NY,10002,,,,,,,,
Steve,org149,Ukrainian East Village Restaurant,,,140 2nd Avenue,,New York,NY,10003,,,,,,,,
,org15,Bona Fides Restaurant,Manager,,60 2nd Avenue,,New York,NY,10003,,Revised from 2010 return,,,,,,
Steve,org150,University Settlement,Michael Zisser,Exec. Director,184 Eldridge St.,,New York,NY,10002,,,,,,,,
Steve,org151,Urban Justice Center,Harvey Epstein,,123 William Street,16th Floor,New York,NY,10038,,Revised from 2010 return,,,,,,
Steve,org152,Verizon,Verizon Foundation Headquarters,,One Verizon Way,,Basking Ridge,NJ,07920,,,,,,,,
Steve,org153,West New York Restoration,,,1800 Boston Rd.,,Bronx,NY,10460,,,,,,,,
Steve,org154,Whiskers Holistic Pet Care,,,235 E. 9th St.,,New York,NY,10003,,,,,,,,
Fran,org155,Winter Management,James Winter,,730 5th Avenue,12th Floor,New York,NY,10019,,,,,,,,
Steve,org156,Working Families Party,,,2 Nevins Street,3rd Floor,Brooklyn,NY,11217,,,,,,,,
Fran,org157,Workman Publishing Co.,Elisabeth Scharlatt,,225 Varick St,,New York,NY,10014,4381,"NOT DELIVERABLE AS ADDRESSED, fixed 2012",,,,,,
Steve,org158,"Works in Progress, Inc.",Emily Clark,,59 E. 4th St.,,NY,NY,10003,,,,,,,,
Steve,org16,Borah Goldstein,Lester Figeroa,,377 Broadway,,New York,NY,10013,,,,,,,,
Fran,org17,Borinquen Exterminator,Pedro Gonzalez,,435 Fort Washington Ave.,Suite 2H,New York,NY,10033,,,,,,,,
Steve,org18,"Bowery Hotel, LLC",Richard Born,President,871 7th Avenue,,New York,NY,10019,,,,,,,,
Steve,org19,Bowery Residents Committee,Jennifer Og,,131 W 25th St,FL 12,New York,NY,10001,7207,"Moved, revised",,,,,,
Steve,org20,"Broad Street Financial Services, Ltd",Frimette Kass-Shreiber,,956 E 12th St,,Brooklyn,NY,11230,,,,,,,,
Steve,org21,Build-Ez Inc.  ,,,150 W. 30th St.,Suite 415,NY,NY,10001,,,,,,,,
Steve,org22,C/o Nice Guy Eddies,David McWater,,5 Avenue A,,New York,NY,10009,,,,,,,,
Steve,org23,Capital One Bank,,,159 2nd Avenue,,New York,NY,10003,,,,,,,,
Steve,org24,Catholic Charities,Program Officer,,1011 1st Ave,,New York,NY,10022,,,,,,,,
Steve,org25,Chinatown YMCA,David Kaplan,Exec. Director,273 Bowery,,New York,NY,10003,,,,,,,,
,org26,Chinese American Planning Council ,Executive Director,,165 Eldridge Street,,New York,NY,10002,,Revised from 2010 return,,,,,,
Steve,org26,Chinese American Planning Council,Janet Li,,165 Eldridge Street ,,New York,NY,10002,,,,,,,,
Steve,org26,Chinese American Planning Council,Peter Chang,,165 Eldridge Street,,New York,NY,10002,,,,,,,,
Steve,org29,Clearview Festival Productions,Mike DeBellis,,80 8th Avenue,4th Floor,New York,NY,10011,,,,,,,,
Steve,org30,Clifford Chance,Tony Candido,,31 W. 52nd St. ,,New York,NY,10019,,new 2012,,,,,,
Steve,org30,Clifford Chance,Anthony Candido,,31 West 52nd Street,,New York ,NY,10019,6131,,,,,,,
Steve,org30,Clifford Chance,Chris Knutson,,31 West 52nd Street,,New York ,NY,10019,6131,,,,,,,
Steve,org33,"Collins, Dobkin & Miller",,,277 Broadway,,New York,NY,10007,,,,,,,,
Steve,org34,Commerce Bank,Melissa,Comm. Dev. Officer,101 Haddonfield Rd.,2nd Floor,Cherry Hill,NJ,08002,,,,,,,,
Steve,org35,Community Access,Maggi Knox,Project Manager,2 Washington St.,9th Floor,New York,NY,10004,,new 2012,,,,,,
Steve,org35,Community Access,Steve Coe,Exec. Director,2 Washington St.,9th Floor,New York,NY,10004,,,,,,,,
Steve,org37,Community Preservation Corp.,Brenda Ratliff,Communications VP,28 East 28th Street,9th Floor,New York,NY,10016,,,,,,,,
Steve,org38,Con Edison,David Gmach,,4 Irving Place,1650-S,New York,NY,10017,,,,,,,,
Steve,org39,Contact Fund,Jennifer Trepinski,,708 3rd Avenue,6th Fl,New York,NY,10017,,new 2012,,,,,,
Steve,org40,Cooper Square MHA,Val Orselli,,59-61 E. 4th St.,,New York,NY,10003,,,,,,,,
Steve,org41,Creative Time,Anne Pasternack,Exec. Director,59-61 E. 4th St.,,NY,NY,10003,,,,,,,,
Steve,org42,Crystal Window & Door Systems ,,,31-10 Whitestone Expressway,,Flushing,NY,11354,,,,,,,,
Steve,org43,Cucina Di Pesce,,,87 E. 4th St.,,New York,NY,10003,,,,,,,,
Fran,org44,Democracy Now!,Amy Goodman,,207 W. 25th St.,Floor 11,New York,NY,10001,,"ret101510 - Not Deliverable as Addressed, fixed 2012",,,,,,
Fran,org45,National Lawyers Guild,Heidi Boghosian,Director,132 Nassau St,Ste 922,New York,NY,10038,,"ret101810 - ANK, fixed 2012",,,,,,
Steve,org46,Dolphin Gym,,,94 E. 4th Street,,New York,NY,10003,,NDA but correct,,,,,,
Steve,org47,Downtown Art,Ryan Gilliam,,59-61 E. 4th St.,,NY,NY,10003,,,,,,,,
Steve,org48,"Duke Beeson Architects, P.C.",Duke Beeson,,330 W. 38th St.,Suite 1606,New York,NY,10018,,,,,,,,
Steve,org49,Duo Theater,Michaelangelo Alasa,,62 E. 4th Street,,New York,NY,10003,,,,,,,,
Steve,org50,East Village Community Coalition,Aaron Sosnick,,143 Avenue B,,New York,NY,10009,,,,,,,,
Steve,org51,East Village Farm & Grocery,Paul,,69 2nd Avenue,,New York,NY,10003,,,,,,,,
Steve,org52,Elite Technology,Sherman Mui,,1001 6th Avenue,,New York,NY,10018,,,,,,,,
Steve,org53,Exxon,,,24 2nd Avenue,,New York,NY,10003,,,,,,,,
Steve,org54,Fabulous Fanny’s ,,,335 E. 9th St.,,New York,NY,10003,,,,,,,,
Steve,org55,"Finder Novick Kerrigan, LLP",,,276 Park Ave S,,New York,NY,10010,,,,,,,,
Steve,org56,Fourth Arts Block,Tamara Greenfield,,61 E. 4th St,,New York,NY,10003,,,,,,,,
Steve,org57,Fund for the City of NY,Andrew Walrond,,121 Ave. of the Americas,6th Fl.,New York,NY,10013,,,,,,,,
Steve,org58,Goldstein-Hall,Matt Hall,,44 Wall Street,12th Floor,New York,NY,10005,,,,,,,,
Steve,org58,Goldstein-Hall,David Goldstein,,44 Wall Street,FL 12,New York,NY,10005,,,,,,,,
Steve,org60,Good Old Lower East Side,Damaris Reyes,,171 Avenue B,,New York,NY,10009,,,,,,,,
Steve,org61,GVSHP,Andrew Berman,Exec. Director,232 E. 11th Street,,New York,NY,10003,,,,,,,,
Steve,org62,Haskell Brokerage,Maria Rivera,,100 William St.,Suite 1125,NY,NY,10038,,,,,,,,
Steve,org62,Haskell Brokerage,Maurice Wong,,100 William St.,Suite 1125,NY,NY,10038,,,,,,,,
Fran,org64,Heat and Light Co.,Tony Kushner,,111 East 14th Street,404,New York,NY,10003,,,,,,,,
Steve,org65,HHK Management Group,Harry Kotowitz,President,12 Hall St.,Suite 200,Brooklyn,NY,11205,,,,,,,,
Steve,org66,"Himmelstein, McConnell, Gribben",,,15 Maiden Lane,,New York,NY,10038,,,,,,,,
Steve,org67,Housing Works,Charles King,President,743 East 9th St.,,New York,NY,10009,,,,,,,,
Steve,org68,JASA,Donald Manning,,132 W. 31 Street,,New York,NY,10001,,Revised from 2010 return,,,,,,
Steve,org69,JCCGCI,Chaya Abelsky,,3001 West 37th St.,,Brooklyn,NY,11224,,,,,,,,
Steve,org70,Jimmy’s No. 43,Jimmy Carbone,,43 East 7th Street,,New York,NY,10003,,,,,,,,
Steve,org71,John’s Restaurant,,,302 E. 12th St.,,New York,NY,10003,,,,,,,,
Fran,org72,JP Morgan Chase,Jenny Lo,,1 Chase Manhattan Plaza,6th Floor,New York,NY,10005,,,,,,,,
Steve,org74,Kingdom Architecture ,,,102-49 Corona Ave.,,Flushing,NY,11368,3137,,,,,,,
Steve,org75,Kutztown Publishing Co.,Dave Martin,,15076 Kutztown Road,PO Box 346,Kutztown,PA,19530,,,,,,,,
Steve,org75,Kutztown Publishing Co.,Scott Miller,,15076 Kutztown Road,PO Box 346,Kutztown,PA,19530,,,,,,,,
Steve,org77,"La MaMa, ETC.",,,74A E. 4th St.,,New York,NY,10003,,NDA. Revised,,,,,,
Steve,org78,La Salle Academy,Andy Leary,,44 E. 2nd St.,,New York,NY,10003,,,,,,,,
Steve,org78,La Salle Academy,Andrew Leary,,44 E. 2nd St.,,New York,NY,10003,,,,,,,,
Steve,org79,La Sirena,,,27 E. 3rd St.,,New York,NY,10003,,,,,,,,
Steve,org80,LANY,Avie Bertaccini,,171 Madison Ave,6th Fl.,New York,NY,10016,,new 2012,,,,,,
Steve,org82,Legal Services of NY,,,40 Worth Street,Suite 606,New York,NY,10013,,,,,,,,
Steve,org83,LES Tenement Museum,,,91 Orchard Street,,New York,NY,10002,3132,,,,,,,
Steve,org83,LES Tenement Museum,Morris Vogel,,91 Orchard Street,,New York,NY,10002,,,,,212-330-6480,179 ,347-260-0089 ,Christopher.banks@officedepot.com
Steve,org84,LISC,Exec. Director,,501 Seventh Avenue,,New York,NY,10018,,,,,,,,
,org85,"Loisaida, Inc.",Raquel Santana,Exec. Director,12 Avenue D,,New York,NY,10009,,Revised from 2010 return,,,,,,
Steve,org86,Lower East Side Girls Club,Lyn Pentecost,Executive Director,56 E 1st St,,New York,NY,10003,,,,,,,,
Steve,org87,Lower East Side Peoples MHA,Executive Director,,209 E. 3rd Street,,New York,NY,10009,,,,,,,,
,org89,Lucien Restaurant,,,14 1st Avenue,,New York,NY,10009,,Revised from 2010 return,,,,,,
Steve,org90,Magnuson Architecture & Planning,Perry Winston,,835 Broadway,8th Floor,New York,NY,10003,,,,,,,,
Steve,org91,Manhattan Borough President,The Honorable Scott Stringer,,1 Centre Street,19th Floor So.,New York,NY,10007,,,,,,,,
Steve,org92,Manhattan Fire & Safety Corp,Badou,,242 W 30th St,7th Fl,New York,NY,10001,,,,,,,,
Steve,org93,LESPFCU,Cynthia Colon,,37 Avenue B,,New York,NY,10009,,,,,,,,
Steve,org93,LESPFCU,Jen Thompson,,37 Avenue B,,New York,NY,10009,,,,,,,,
Steve,org95,"Massey Knakal Realty, Inc.",Philip Huang,,275 Madison Ave.,3rd Floor,New York,NY,10016,,,,,,,,
Steve,org96,Merrill Lynch,Harlan Levinson,,2 World Financial Center,40th Fl.,New York,NY,10004,,,,,,,,
Steve,org97,Met Life,Liza Confino,,1095 Avenue of the Americas,,New York,NY,10036,,,,,,,,
Fran,org98,Metropolitan Books,Sam Bershtel,,175 Fifth Avenue,,New York,NY,10010,,,,,,,,
Steve,org99,Mogull Realty,Kim Mogull,President and CEO,303 E 57th St,Ste 400,New York,NY,10022,2693,rev 2012,,,,,,
